outcome,gross,extwarramt,tradeamt,pvdamt,flexdisc,covidamt
1,295000,0,0,0,0,0
0,305000,0,24000,0,5000,0
1,292000,0,40000,12940,15000,0
1,292000,0,40000,12940,15000,0
0,292000,0,25000,0,5000,0
1,292000,0,40000,0,0,0
1,279000,0,5100,0,0,0
1,292000,23205,35000,0,15000,0
1,292000,46410,0,0,10000,0
1,281000,0,30000,0,0,0
1,292000,0,0,0,0,0
0,315000,0,15000,0,0,0
0,281000,0,0,0,0,0
0,281000,0,25000,0,0,0
1,292000,0,18000,0,0,0
1,293000,0,20000,0,0,0
1,278190,0,30000,0,0,0
1,270630,0,0,0,0,0
1,292000,23205,35000,0,15000,0
1,292000,0,35000,0,0,0
0,292000,0,5000,10056,0,0
1,293000,0,40000,0,15000,0
1,300473.9,0,0,0,0,0
1,311300,0,40000,0,15000,0
1,292000,0,21000,0,0,0
0,300550,0,21000,0,15000,0
1,292000,0,42000,15000,15000,0
0,292000,0,35000,18050.6666,0,0
0,292000,0,35000,18050.6666,0,0
0,292000,0,35000,18050.6666,0,0
0,292000,0,35000,17467,0,0
1,300473.9,0,21000,0,10000,0
1,292000,0,0,11000,0,0
1,293000,0,32750,0,15000,0
0,281000,0,25000,0,0,0
1,292000,0,30000,9780,15000,0
1,300473.9,0,30000,0,0,0
1,292000,0,0,7489,10000,0
1,299000,0,21000,0,0,0
1,299000,0,21000,0,0,0
1,292000,23205,0,0,10000,0
1,292000,23205,35000,9000,15000,0
1,279000,0,35000,0,0,0
1,279000,0,35000,0,0,0
0,295000,0,20000,0,15000,0
1,295000,0,21000,0,0,0
0,295000,0,40000,0,12000,0
1,299000,0,21000,0,0,0
0,293500,0,0,0,0,0
1,295000,0,32000,0,15000,0
1,299000,0,21000,0,15000,0
0,281000,0,0,0,0,0
1,281000,0,20250,0,0,0
1,281000,0,20250,0,0,0
0,281000,0,0,0,0,0
1,292000,0,0,0,0,0
1,292000,0,0,0,0,0
1,292000,0,35000,0,0,0
1,292000,23205,5600,0,5000,0
0,281000,0,25000,0,0,0
1,292000,0,0,0,0,0
0,292000,23205,15000,0,7500,0
0,292000,23205,15000,0,7500,0
0,292000,0,0,10770,10000,0
1,292000,0,25000,0,15000,0
1,281000,0,25000,0,0,0
1,281000,0,25000,0,0,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
1,292000,0,39500,27000,20000,0
0,293000,0,35000,7500,15000,0
1,292000,46410,30000,5000,15000,0
1,281000,0,45000,0,15000,0
1,292000,0,35000,0,15000,0
1,300473.9,0,0,0,0,0
1,292000,23205,0,8952.95,0,0
1,292000,23205,0,8952.95,0,0
0,318000,0,0,0,0,0
1,300473.9,0,31210,0,0,0
1,292000,23205,0,0,0,0
0,281000,0,20250,0,0,0
1,292000,23205,35000,0,10000,0
1,295000,0,0,0,0,0
0,292500,0,0,0,0,0
1,300473.9,0,28333.3333,11546.3333,5000,0
1,300473.9,0,28333.3333,11546.3333,5000,0
1,292000,0,40000,8250,15000,0
1,292000,0,40000,8250,15000,0
1,287000,23205,21000,17220,0,0
1,281000,0,18000,0,0,0
1,292000,0,0,58345,0,0
0,292000,46410,37000,0,15000,0
1,313000,0,0,0,0,0
1,292000,23205,0,25000,0,0
1,292000,0,0,16375,10000,0
1,295000,0,0,5000,15000,0
1,292000,0,0,0,10000,0
1,292000,0,36000,0,25000,0
1,292000,0,40000,10000,15000,0
1,300473.9,0,21000,0,0,0
1,292000,0,42000,15000,15000,0
1,294259,0,0,0,0,0
0,281000,0,0,0,0,0
1,281000,0,25000,0,0,0
0,292000,0,10000,0,40000,0
0,279000,0,0,0,0,0
1,295473.9,0,30000,0,15000,0
0,295000,0,0,0,0,0
0,295000,0,0,0,0,0
0,295000,0,0,0,0,0
1,292000,0,0,0,0,0
1,292000,0,25000,0,35000,0
1,292000,0,40000,10000,15000,0
1,292000,0,40000,10000,15000,0
1,292000,0,40500,2845,15000,0
1,292000,0,0,58345,0,0
1,292000,0,40500,2845,15000,0
1,292000,0,35500,0,15000,0
1,281000,0,0,0,0,0
1,292000,23205,35000,0,15000,0
1,292000,0,42130,0,15000,0
1,292000,23205,36000,0,10000,0
1,292000,0,0,25000,0,0
1,313000,0,45000,0,0,0
1,293436.9,0,33800,8960.79,15000,0
1,281000,0,0,0,0,0
1,292000,23205,35000,0,15000,0
1,294000,23205,0,18000,0,0
1,292000,0,40500,2845,15000,0
0,292000,0,40000,0,15000,0
0,292000,0,10000,0,20000,0
0,292500,0,38500,0,15000,0
1,281000,0,25000,0,0,0
1,313000,0,0,0,0,0
1,292000,23205,35000,0,15000,0
1,295000,0,30000,7700,15000,0
1,292000,23205,35000,0,15000,0
1,281000,0,0,0,0,0
1,292000,11602.5,40000,6282,15000,0
1,292000,0,40500,5800,15000,0
1,292000,0,30000,7120.2933,15000,0
1,292000,0,30000,7120.2933,15000,0
1,292000,0,30000,7120.2933,15000,0
1,292000,0,40500,15600,15000,0
1,292000,0,40500,5800,15000,0
1,292000,0,40500,5800,15000,0
1,298000,23205,32000,0,15000,0
1,292000,0,42000,15000,15000,0
1,292000,0,42000,15000,15000,0
1,292000,23205,0,0,10000,0
1,292000,0,42000,15000,15000,0
1,292000,0,42000,15000,15000,0
1,292000,0,26463.88,0,15000,0
1,292750,0,0,20000,10000,0
1,292000,23205,35000,0,15000,0
1,281000,0,25000,0,0,0
1,292000,23205,35000,0,15000,0
1,292000,0,0,11120,0,0
1,297155,0,40000,0,10000,0
1,297000,0,0,0,15000,0
1,292000,0,0,58345,0,0
1,295157,11602.5,25000,0,10000,0
1,292000,0,0,0,0,0
1,292000,46410,35000,0,15000,0
1,292000,0,25000,10000,15000,0
1,292000,0,0,25000,10000,0
1,292000,0,0,25000,10000,0
1,292000,0,0,25000,0,0
0,281000,0,25000,0,0,0
1,292000,34807.5,40000,0,15000,0
1,292000,11602.5,0,15000,0,0
1,298000,23205,48000,0,0,0
1,287500,0,0,0,0,0
1,298000,23205,48000,0,0,0
1,287000,0,21000,17220,0,0
1,292000,0,30000,0,10000,0
0,292000,23205,40500,0,15000,0
1,300473.9,0,0,14080,0,0
1,297083.9,23205,20000,0,15000,0
1,292000,0,32000,14186,7000,0
1,300000,23205,0,0,0,0
1,292000,0,35000,0,15000,0
1,313000,0,0,0,0,0
1,292000,23205,35000,0,15000,0
1,281000,0,25000,0,0,0
1,313000,0,45000,0,0,0
1,292000,23205,35000,0,10000,0
1,298000,23205,0,0,0,0
1,305000,11602.5,0,0,10000,0
0,297000,0,21000,0,15000,0
1,299000,0,0,0,0,0
0,299000,0,0,0,10000,0
1,292000,23205,35000,5000,15000,0
1,292000,0,40000,0,0,0
1,292000,0,0,12000,0,0
1,281000,0,5000,0,0,0
1,292000,0,30000,0,15000,0
1,292000,0,30000,0,15000,0
1,292000,23205,35000,0,15000,0
1,281000,0,0,0,0,0
1,292000,0,15500,0,15000,0
1,292000,0,15500,0,15000,0
1,292000,23205,35000,0,15000,0
1,298000,23205,0,0,0,0
1,292000,23205,35000,0,15000,0
1,292000,0,20000,0,15000,0
1,292000,0,10000,0,0,0
1,292000,11602.5,40000,0,3000,0
1,279000,23205,0,0,15000,0
1,292000,0,29000,0,15000,0
1,292000,0,35000,19500,22500,0
1,292000,0,35000,19500,22500,0
1,292000,23205,0,8971.51,0,0
0,292000,0,35000,0,15000,0
1,300473.9,0,15000,0,15000,0
0,292157.58,0,35000,0,0,0
1,292000,0,25000,0,25000,0
1,292000,0,0,0,0,0
1,292000,0,0,0,15000,0
1,292000,0,0,0,15000,0
1,292000,0,40000,10000,22500,0
1,292000,0,40000,10000,22500,0
1,292200,0,40000,10000,15000,0
1,292000,0,40000,0,12500,0
1,292990,0,0,0,0,0
1,292000,0,40000,0,15000,0
1,298000,23205,0,0,0,0
1,298000,23205,0,0,0,0
1,270630,0,25000,0,0,0
1,292000,0,0,0,0,0
1,292000,0,0,11000,0,0
1,292000,0,0,11000,0,0
1,292000,0,0,11000,0,0
1,292000,0,0,11000,0,0
1,292000,0,40000,0,15000,0
1,292000,0,5850,0,17500,0
0,281000,0,25000,0,0,0
1,298000,23205,0,0,0,0
1,300473.9,0,33000,9113.5,19000.15,0
1,300473.9,0,33000,9113.5,19000.15,0
1,300473.9,0,33000,9113.5,19000.15,0
1,292000,0,0,0,15000,0
1,292000,46410,0,0,10000,0
1,281000,0,25000,0,0,0
1,294000,0,35000,0,15000,0
1,292000,11602.5,35000,0,15000,0
1,295000,0,0,0,10000,0
1,295000,46410,30000,10000,11000,0
1,295000,46410,30000,10000,11000,0
1,295000,46410,30000,10000,11000,0
1,298000,23205,35000,0,0,0
1,298000,23205,0,0,0,0
1,298000,23205,0,0,0,0
1,279000,0,40000,0,15000,0
1,292000,0,40000,0,15000,0
1,279000,0,40000,0,15000,0
1,279000,0,40000,0,15000,0
1,292000,0,35000,0,15000,0
1,292000,23205,0,0,0,0
1,292000,0,40000,0,15000,0
1,292000,0,40000,0,15000,0
1,295000,0,20000,0,0,0
1,292000,0,35000,0,0,0
1,292000,0,35000,0,0,0
1,298000,23205,0,0,0,0
1,281000,0,0,0,0,0
1,292953,0,0,0,0,0
1,292000,0,116000,0,15000,0
1,292000,23205,40000,10582,15000,0
1,292000,23205,40000,10582,15000,0
1,292000,23205,40000,10582,15000,0
1,292000,0,35000,0,15000,0
1,292000,23205,35000,0,15000,0
1,292000,23205,0,0,10000,0
1,285215,0,35000,0,0,0
1,285215,0,35000,0,0,0
1,292000,0,0,0,10000,0
1,297000,0,0,0,0,0
